source,model,dataset,task,task_type,metric,test_score
relgnn_paper,relgnn_MR,rel-amazon,user-ltv,REGRESSION,mae,14.23
relgnn_paper,relgnn_MR,rel-avito,ad-ctr,REGRESSION,mae,0.037
relgnn_paper,relgnn_MR,rel-avito,user-clicks,BINARY_CLASSIFICATION,roc_auc,0.6823
relgnn_paper,relgnn_MR,rel-avito,user-visits,BINARY_CLASSIFICATION,roc_auc,0.6618
relgnn_paper,relgnn_MR,rel-event,user-attendance,REGRESSION,mae,0.238
relgnn_paper,relgnn_MR,rel-event,user-ignore,BINARY_CLASSIFICATION,roc_auc,0.8618
relgnn_paper,relgnn_MR,rel-event,user-repeat,BINARY_CLASSIFICATION,roc_auc,0.7961
relgnn_paper,relgnn_MR,rel-f1,driver-dnf,BINARY_CLASSIFICATION,roc_auc,0.7529
relgnn_paper,relgnn_MR,rel-f1,driver-position,REGRESSION,mae,3.798
relgnn_paper,relgnn_MR,rel-f1,driver-top3,BINARY_CLASSIFICATION,roc_auc,0.8569
relgnn_paper,relgnn_MR,rel-hm,item-sales,REGRESSION,mae,0.054
relgnn_paper,relgnn_MR,rel-hm,user-churn,BINARY_CLASSIFICATION,roc_auc,0.7093
relgnn_paper,relgnn_MR,rel-stack,post-votes,REGRESSION,mae,0.065
relgnn_paper,relgnn_MR,rel-stack,user-badge,BINARY_CLASSIFICATION,roc_auc,0.8898
relgnn_paper,relgnn_MR,rel-stack,user-engagement,BINARY_CLASSIFICATION,roc_auc,0.9075
relgnn_paper,relgnn_MR,rel-trial,site-success,REGRESSION,mae,0.301
relgnn_paper,relgnn_MR,rel-trial,study-adverse,REGRESSION,mae,44.461
relgnn_paper,relgnn_MR,rel-trial,study-outcome,BINARY_CLASSIFICATION,roc_auc,0.7124
relgt_paper,relgt_MR,rel-amazon,item-churn,BINARY_CLASSIFICATION,roc_auc,0.8255
relgt_paper,relgt_MR,rel-amazon,item-ltv,REGRESSION,mae,48.922
relgt_paper,relgt_MR,rel-amazon,user-churn,BINARY_CLASSIFICATION,roc_auc,0.7039
relgt_paper,relgt_MR,rel-amazon,user-ltv,REGRESSION,mae,14.2665
relgt_paper,relgt_MR,rel-avito,ad-ctr,REGRESSION,mae,0.0345
relgt_paper,relgt_MR,rel-avito,user-clicks,BINARY_CLASSIFICATION,roc_auc,0.683
relgt_paper,relgt_MR,rel-avito,user-visits,BINARY_CLASSIFICATION,roc_auc,0.6678
relgt_paper,relgt_MR,rel-event,user-attendance,REGRESSION,mae,0.2502
relgt_paper,relgt_MR,rel-event,user-ignore,BINARY_CLASSIFICATION,roc_auc,0.8157
relgt_paper,relgt_MR,rel-event,user-repeat,BINARY_CLASSIFICATION,roc_auc,0.7609
relgt_paper,relgt_MR,rel-f1,driver-dnf,BINARY_CLASSIFICATION,roc_auc,0.7587
relgt_paper,relgt_MR,rel-f1,driver-position,REGRESSION,mae,3.917
relgt_paper,relgt_MR,rel-f1,driver-top3,BINARY_CLASSIFICATION,roc_auc,0.8352
relgt_paper,relgt_MR,rel-hm,item-sales,REGRESSION,mae,0.0536
relgt_paper,relgt_MR,rel-hm,user-churn,BINARY_CLASSIFICATION,roc_auc,0.6927
relgt_paper,relgt_MR,rel-stack,post-votes,REGRESSION,mae,0.0654
relgt_paper,relgt_MR,rel-stack,user-badge,BINARY_CLASSIFICATION,roc_auc,0.8632
